game_id,away,home,away_rank,home_rank,away_score,home_score,date
400945508,UCF,UConn,NA,1,56,78,2017-03-05
400945512,Kansas State,Baylor,24,2,71,88,2017-03-05
400945468,Duke,Notre Dame,13,3,61,84,2017-03-05
400945548,Purdue,Maryland,NA,4,64,74,2017-03-05
400945531,Mississippi State,South Carolina,6,5,49,59,2017-03-05
400945501,Stanford,Oregon State,10,6,48,43,2017-03-05
400945615,West Virginia,Texas,NA,12,62,59,2017-03-05
400945573,Seton Hall,DePaul,NA,18,60,92,2017-03-05
400945575,South Florida,Temple,NA,25,63,58,2017-03-05
400945513,Iona,Quinnipiac,NA,NA,59,64,2017-03-05
400945469,Duquesne,Dayton,NA,NA,56,70,2017-03-05
400944535,Cleveland State,Detroit Mercy,NA,NA,56,70,2017-03-05
400944433,Omaha,South Dakota,NA,NA,64,58,2017-03-05
400944614,Fairleigh Dickinson,Robert Morris,NA,NA,35,68,2017-03-05
400944615,St. Francis (BKN),Sacred Heart,NA,NA,69,90,2017-03-05
400944617,Mt. St. Mary's,Bryant,NA,NA,47,59,2017-03-05
400945395,Mercer,Chattanooga,NA,NA,59,61,2017-03-05
400945530,Butler,Creighton,NA,NA,55,64,2017-03-05
400945506,Fairfield,Rider,NA,NA,36,49,2017-03-05
400945514,Maine,New Hampshire,NA,NA,61,52,2017-03-05
400944616,Central Connecticut,St. Francis (PA),NA,NA,65,57,2017-03-05
400944534,Milwaukee,Oakland,NA,NA,82,60,2017-03-05
400944434,Oral Roberts,South Dakota State,NA,NA,50,65,2017-03-05
400944558,Georgetown,Marquette,NA,NA,66,80,2017-03-05
400945576,Hartford,Albany,NA,NA,65,67,2017-03-05
400944559,St. John's,Villanova,NA,NA,56,40,2017-03-05
