play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:43,2383,2383,Nia Clouden missed Three Point Jumper.,0,0,0,4,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,NA
2,1,9:39,2379,2379,Nia Hollie Offensive Rebound.,0,0,0,1,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
3,1,9:38,2378,2378,Nia Hollie made Layup.,2,0,2,15,0.5444902640703563,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Michigan State
4,1,9:23,2363,2363,Sydney Hilliard made Layup.,2,2,0,10,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Wisconsin
5,1,9:13,2353,2353,Kayla Belles missed Layup.,2,2,0,0,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
6,1,9:13,2353,2353,Abby Laszewski Block.,2,2,0,0,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
7,1,9:13,2353,2353,Michigan State Offensive Rebound.,2,2,0,9,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
8,1,9:04,2344,2344,Moira Joiner missed Three Point Jumper.,2,2,0,5,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
9,1,8:59,2339,2339,Abby Laszewski Defensive Rebound.,2,2,0,8,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
10,1,8:51,2331,2331,Foul on Taryn McCutcheon.,2,2,0,0,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
11,1,8:51,2331,2331,Kendra Van Leeuwen missed Free Throw.,2,2,0,0,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
12,1,8:51,2331,2331,Wisconsin Offensive Rebound.,2,2,0,0,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
13,1,8:51,2331,2331,Kendra Van Leeuwen made Free Throw.,2,3,-1,8,0.47720066428009156,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Wisconsin
14,1,8:43,2323,2323,Taryn McCutcheon made Three Point Jumper. Assisted by Nia Clouden.,5,3,2,22,0.5456793799013266,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Michigan State
15,1,8:21,2301,2301,Niya Beverley missed Layup.,5,3,2,3,0.5461652125929003,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
16,1,8:18,2298,2298,Imani Lewis Offensive Rebound.,5,3,2,3,0.546231860846261,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
17,1,8:15,2295,2295,Imani Lewis made Layup.,5,5,0,14,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Wisconsin
18,1,8:01,2281,2281,Taryn McCutcheon missed Jumper.,5,5,0,4,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
19,1,7:57,2277,2277,Kayla Belles Offensive Rebound.,5,5,0,0,0.5,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
20,1,7:57,2277,2277,Kayla Belles made Layup.,7,5,2,19,0.5467008721621327,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Michigan State
21,1,7:38,2258,2258,Abby Laszewski missed Layup.,7,5,2,0,0.5471286592204017,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
22,1,7:38,2258,2258,Kayla Belles Block.,7,5,2,5,0.5471286592204017,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
23,1,7:33,2253,2253,Kayla Belles Defensive Rebound.,7,5,2,15,0.5472417311522229,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
24,1,7:18,2238,2238,Nia Hollie missed Jumper.,7,5,2,4,0.5475820854440291,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
25,1,7:14,2234,2234,Sydney Hilliard Defensive Rebound.,7,5,2,4,0.5476731190364036,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
26,1,7:10,2230,2230,Foul on Moira Joiner.,7,5,2,0,0.5477642609005232,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
27,1,7:10,2230,2230,Sydney Hilliard missed Free Throw.,7,5,2,0,0.5477642609005232,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
28,1,7:10,2230,2230,Wisconsin Offensive Rebound.,7,5,2,0,0.5477642609005232,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
29,1,7:10,2230,2230,Sydney Hilliard made Free Throw.,7,6,1,9,0.523936865765826,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Wisconsin
30,1,7:01,2221,2221,Kayla Belles missed Layup.,7,6,1,3,0.5240403011281468,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
31,1,6:58,2218,2218,Imani Lewis Defensive Rebound.,7,6,1,7,0.5240748370447984,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
32,1,6:51,2211,2211,Kendra Van Leeuwen Turnover.,7,6,1,11,0.5241555267460252,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
33,1,6:40,2200,2200,Nia Clouden missed Layup.,7,6,1,0,0.5242826061342462,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
34,1,6:40,2200,2200,Imani Lewis Block.,7,6,1,6,0.5242826061342462,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
35,1,6:34,2194,2194,Imani Lewis Defensive Rebound.,7,6,1,13,0.5243520563268457,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
36,1,6:21,2181,2181,Imani Lewis missed Jumper.,7,6,1,5,0.5245028241138812,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
37,1,6:16,2176,2176,Taryn McCutcheon Defensive Rebound.,7,6,1,12,0.524560908778585,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
38,1,6:04,2164,2164,Kayla Belles made Jumper. Assisted by Nia Clouden.,9,6,3,27,0.5736228816547175,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Michigan State
39,1,5:37,2137,2137,Kendra Van Leeuwen missed Layup.,9,6,3,3,0.5745528112111679,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
40,1,5:34,2134,2134,Moira Joiner Defensive Rebound.,9,6,3,2,0.5746566555022267,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
41,1,5:32,2132,2132,Moira Joiner Turnover.,9,6,3,22,0.5747259452953509,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
42,1,5:10,2110,2110,Sydney Hilliard made Layup.,9,8,1,18,0.5253359611048554,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,Wisconsin
43,1,4:52,2092,2092,Tory Ozment missed Jumper.,9,8,1,4,0.5255507035274625,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
44,1,4:48,2088,2088,Kendra Van Leeuwen Defensive Rebound.,9,8,1,3,0.5255986424134269,Michigan State,Wisconsin,4,4,0,0,NA,401166831,2020-01-12,
